base_1,43.118967237	,131.889649040	,114.216
694,43.025878928	,131.896550485	,41.333
695,43.025876711	,131.896549240	,41.197
696,43.025872125	,131.896556219	,41.355
697,43.025844675	,131.896645000	,41.496
698,43.025847815	,131.896643082	,41.426
699,43.025850703	,131.896644792	,41.279
700,43.025842869	,131.896651850	,41.372
701,43.025770698	,131.896673633	,42.504
702,43.025768382	,131.896677717	,42.668
703,43.025750170	,131.896747267	,42.566
704,43.025799893	,131.896752548	,41.869
705,43.025798678	,131.896747690	,41.482
706,43.025801595	,131.896746792	,41.454
707,43.025804475	,131.896748894	,41.488
708,43.025743652	,131.896810120	,42.562
709,43.025740354	,131.896813984	,42.616
710,43.025762261	,131.896854388	,42.137
711,43.025769045	,131.896846931	,41.638
712,43.025770694	,131.896848649	,41.793
713,43.025743880	,131.896944090	,40.778
714,43.025733188	,131.896973758	,41.281
715,43.025728416	,131.896978528	,41.674
716,43.025760049	,131.896985724	,41.138
717,43.025842913	,131.897002612	,41.238
718,43.025848358	,131.897010553	,41.414
719,43.025848480	,131.897006379	,41.480
720,43.025848335	,131.897001256	,41.365
721,43.025849669	,131.897005711	,41.464
722,43.025851830	,131.897005316	,41.399
723,43.025852353	,131.897003821	,41.478
724,43.025855616	,131.896984729	,40.950
725,43.025848955	,131.896937103	,39.962
726,43.025819720	,131.896914584	,40.022
727,43.025840392	,131.896894299	,39.884
728,43.025796313	,131.896834638	,40.714
729,43.025798031	,131.896833254	,40.796
730,43.025796362	,131.896830206	,40.917
731,43.025797069	,131.896826074	,40.768
732,43.025800591	,131.896829033	,40.629
733,43.025821699	,131.896783793	,40.593
734,43.025872851	,131.896879159	,39.566
735,43.025878501	,131.896886397	,39.721
736,43.025890922	,131.896862928	,39.473
737,43.025892514	,131.896866748	,39.426
738,43.025894802	,131.896867054	,39.410
739,43.025885840	,131.896841030	,39.311
740,43.025880633	,131.896840340	,39.323
741,43.025884641	,131.896835966	,39.307
742,43.025894010	,131.896825152	,38.922
743,43.025879553	,131.896713674	,39.560
744,43.025876846	,131.896712850	,39.423
745,43.025875133	,131.896708735	,39.634
746,43.025873636	,131.896708359	,39.564
747,43.025873996	,131.896703666	,39.598
748,43.025876733	,131.896703962	,39.571
749,43.025878589	,131.896705929	,39.515
750,43.025881094	,131.896708375	,39.396
751,43.025895439	,131.896667157	,39.777
752,43.025910291	,131.896671140	,39.174
753,43.025941907	,131.896694685	,38.005
754,43.025947462	,131.896689005	,37.961
755,43.025960436	,131.896670560	,37.993
756,43.025969096	,131.896677466	,37.804
757,43.025968028	,131.896681433	,37.693
758,43.025965632	,131.896747970	,37.378
759,43.025968793	,131.896750832	,37.297
760,43.025966232	,131.896755315	,37.328
761,43.025949511	,131.896790886	,37.574
762,43.025986489	,131.896800107	,38.421
763,43.026010613	,131.896790413	,38.127
764,43.026054808	,131.896811985	,38.323
765,43.026034495	,131.896749713	,37.219
766,43.026096496	,131.896738169	,36.753
767,43.026072547	,131.896807150	,37.949
768,43.026069920	,131.896809194	,38.318
769,43.026071620	,131.896812183	,38.222
770,43.026075744	,131.896812545	,38.028
771,43.026130553	,131.896829045	,37.652
772,43.026129624	,131.896825704	,37.743
773,43.026130964	,131.896823832	,37.369
774,43.026135231	,131.896826767	,37.633
775,43.026144363	,131.896816652	,36.962
776,43.026180679	,131.896841105	,36.882
777,43.026180994	,131.896844297	,37.057
778,43.026200503	,131.896834352	,36.726
779,43.026195236	,131.896830912	,36.772
780,43.026199209	,131.896828907	,37.135
781,43.026193673	,131.896822857	,36.612
782,43.026202304	,131.896814030	,36.168
783,43.026220421	,131.896794727	,35.467
784,43.026235310	,131.896827208	,35.926
785,43.026230966	,131.896833235	,36.249
786,43.026231986	,131.896838264	,36.337
787,43.026235024	,131.896836594	,36.190
788,43.026240581	,131.896853797	,36.825
789,43.026244575	,131.896848157	,36.618
790,43.026273107	,131.896859808	,37.044
791,43.026274796	,131.896867483	,37.028
792,43.026278635	,131.896857792	,37.093
793,43.026278285	,131.896860567	,36.810
794,43.026278284	,131.896863667	,36.893
795,43.026282263	,131.896859839	,36.809
796,43.026284906	,131.896836788	,36.088
797,43.026260603	,131.896776315	,35.532
798,43.026268223	,131.896771643	,35.369
799,43.026275638	,131.896731304	,35.062
800,43.026336336	,131.896755481	,35.179
801,43.026336369	,131.896754297	,34.704
802,43.026335285	,131.896757682	,34.790
803,43.026359280	,131.896787490	,35.617
804,43.026366516	,131.896786271	,35.541
805,43.026179043	,131.896676619	,36.024
806,43.026166129	,131.896664697	,36.464
807,43.026173496	,131.896725188	,35.678
808,43.026161442	,131.896738530	,36.013
809,43.026154912	,131.896735354	,35.925
810,43.026130399	,131.896754380	,36.244
811,43.026121882	,131.896735743	,36.193
812,43.026128528	,131.896666239	,36.544
813,43.026127384	,131.896688543	,36.035
814,43.026115192	,131.896670965	,36.523
815,43.026115238	,131.896678328	,36.331
816,43.026116663	,131.896682366	,36.193
817,43.026114117	,131.896696473	,36.008
818,43.026107261	,131.896708424	,36.014
819,43.026099875	,131.896689606	,36.184
820,43.026095960	,131.896699891	,36.086
821,43.026092058	,131.896708850	,36.133
822,43.026074448	,131.896708654	,36.168
823,43.026045540	,131.896736124	,36.672
824,43.026011074	,131.896718340	,36.603
825,43.026008635	,131.896710097	,36.743
826,43.025987378	,131.896733679	,36.975
827,43.025662254	,131.897317323	,45.563
828,43.025665451	,131.897320893	,45.718
829,43.025664480	,131.897329057	,45.910
830,43.025675262	,131.897337306	,45.377
831,43.025697470	,131.897335486	,44.888
832,43.025691488	,131.897308553	,44.898
833,43.025698420	,131.897296413	,44.740
834,43.025710534	,131.897296952	,44.533
835,43.025727230	,131.897286040	,44.409
836,43.025738233	,131.897282667	,44.083
837,43.025732728	,131.897291439	,44.177
838,43.025741043	,131.897299420	,44.133
839,43.025745533	,131.897300884	,44.058
840,43.025754745	,131.897292677	,43.880
841,43.025756868	,131.897294848	,43.974
842,43.025751492	,131.897255276	,43.833
843,43.025755070	,131.897304099	,43.904
844,43.025758573	,131.897306570	,43.794
845,43.025757673	,131.897314569	,43.869
846,43.025766217	,131.897312537	,43.739
847,43.025777311	,131.897305381	,43.569
848,43.025782333	,131.897293126	,43.437
849,43.025795337	,131.897270866	,43.087
850,43.025797044	,131.897235202	,42.885
851,43.025803795	,131.897222787	,42.677
852,43.025805947	,131.897230788	,42.758
853,43.025812422	,131.897230966	,42.637
854,43.025807396	,131.897245018	,42.731
855,43.025832085	,131.897262573	,42.591
856,43.025836171	,131.897266304	,42.547
857,43.025843317	,131.897257280	,42.424
858,43.025853409	,131.897238467	,42.212
859,43.025856443	,131.897237897	,42.150
860,43.025827313	,131.897279102	,42.685
861,43.025803709	,131.897298744	,43.307
862,43.025774688	,131.897325838	,43.670
863,43.025763308	,131.897331452	,43.803
864,43.025763435	,131.897336492	,43.828
865,43.025751456	,131.897340457	,44.082
866,43.025748831	,131.897335963	,44.071
867,43.025741354	,131.897347819	,44.187
868,43.025733252	,131.897351288	,44.371
869,43.025730343	,131.897337052	,44.333
870,43.025720488	,131.897364339	,44.722
871,43.025715612	,131.897379629	,44.726
872,43.025729816	,131.897317471	,44.413
873,43.025748985	,131.897361334	,44.089
874,43.025752754	,131.897364674	,44.082
875,43.025748791	,131.897370247	,44.114
876,43.025755348	,131.897376218	,44.019
877,43.025760750	,131.897381783	,43.995
878,43.025764034	,131.897384447	,44.019
879,43.025771744	,131.897364742	,43.714
880,43.025779993	,131.897358436	,43.795
881,43.025775841	,131.897344902	,43.625
882,43.025769238	,131.897340450	,43.768
883,43.025789454	,131.897350140	,43.595
884,43.025791289	,131.897344762	,43.358
885,43.025804260	,131.897336710	,43.156
886,43.025828529	,131.897315168	,42.988
887,43.025829850	,131.897322937	,43.019
888,43.025831189	,131.897321556	,43.067
889,43.025826302	,131.897321048	,42.998
890,43.025846455	,131.897303727	,42.602
891,43.025853889	,131.897272914	,42.371
892,43.025859641	,131.897268978	,42.301
893,43.025866690	,131.897256020	,42.100
894,43.025864668	,131.897271894	,42.219
895,43.025878315	,131.897272630	,42.023
896,43.025880950	,131.897271794	,41.955
897,43.025880298	,131.897265902	,41.977
898,43.025877876	,131.897253481	,41.941
899,43.025889403	,131.897261871	,41.868
900,43.025899796	,131.897261714	,41.685
901,43.025904786	,131.897242165	,41.626
902,43.025909376	,131.897237022	,41.635
903,43.025932647	,131.897228611	,41.455
904,43.025959653	,131.897239169	,41.197
905,43.025942510	,131.897246134	,41.257
906,43.025937426	,131.897247672	,41.328
907,43.025938666	,131.897261624	,41.318
908,43.025951858	,131.897257315	,41.164
909,43.025959765	,131.897272109	,41.191
910,43.025962877	,131.897277416	,41.196
911,43.025952964	,131.897279353	,41.198
912,43.025943688	,131.897278476	,41.250
913,43.025941063	,131.897289227	,41.292
914,43.025953721	,131.897299574	,41.235
915,43.025947955	,131.897303373	,41.271
916,43.025944302	,131.897302400	,41.306
917,43.025925198	,131.897290576	,41.469
918,43.025918560	,131.897301882	,41.574
919,43.025908492	,131.897295330	,41.719
920,43.025908322	,131.897274674	,41.613
921,43.025905887	,131.897269108	,41.646
922,43.025897155	,131.897274649	,41.771
923,43.025900075	,131.897281536	,41.790
924,43.025884759	,131.897288407	,41.997
925,43.025869724	,131.897289657	,42.158
926,43.025856929	,131.897306253	,42.364
927,43.025847753	,131.897313935	,42.486
928,43.025852473	,131.897322850	,42.424
929,43.025843075	,131.897333053	,42.575
930,43.025853228	,131.897343316	,42.463
931,43.025855730	,131.897344133	,42.505
932,43.025840099	,131.897337979	,42.642
933,43.025841826	,131.897345170	,42.621
934,43.025842952	,131.897355926	,42.558
935,43.025837895	,131.897371352	,42.882
936,43.025831867	,131.897358671	,42.820
937,43.025829305	,131.897350643	,42.910
938,43.025826284	,131.897345557	,42.856
939,43.025811538	,131.897351596	,43.086
940,43.025806228	,131.897364438	,43.197
941,43.025793744	,131.897366740	,43.368
942,43.025785702	,131.897375535	,43.561
943,43.025778822	,131.897382429	,43.669
944,43.025767169	,131.897380217	,43.859
945,43.025756801	,131.897394245	,44.022
946,43.025762063	,131.897397980	,43.938
947,43.025763964	,131.897398633	,43.866
948,43.025747439	,131.897404570	,44.212
949,43.025742938	,131.897401049	,44.321
950,43.025742510	,131.897392651	,44.283
951,43.025745192	,131.897386960	,44.252
952,43.025739832	,131.897371788	,44.290
953,43.025739610	,131.897375584	,44.302
954,43.025741302	,131.897380019	,44.276
955,43.025738699	,131.897401608	,44.391
956,43.025731289	,131.897404081	,44.538
957,43.025674818	,131.897454853	,45.762
958,43.025729485	,131.897471144	,44.632
959,43.025731664	,131.897472375	,44.625
960,43.025737479	,131.897498929	,44.624
961,43.025741123	,131.897495552	,44.587
962,43.025744556	,131.897498023	,44.475
963,43.025746757	,131.897502134	,44.438
964,43.025749213	,131.897491254	,44.399
965,43.025749529	,131.897487023	,44.330
966,43.025767008	,131.897495033	,44.352
967,43.025781963	,131.897493847	,44.101
968,43.025778100	,131.897504583	,43.930
969,43.025783450	,131.897513509	,44.093
970,43.025795651	,131.897493333	,43.733
971,43.025799332	,131.897467573	,43.685
972,43.025814653	,131.897482023	,43.389
973,43.025810826	,131.897501599	,43.553
974,43.025814904	,131.897500727	,43.459
975,43.025804171	,131.897512499	,43.646
976,43.025807540	,131.897511480	,43.562
977,43.025820370	,131.897498915	,43.393
978,43.025822696	,131.897504197	,43.372
979,43.025821669	,131.897512867	,43.432
980,43.025823871	,131.897512680	,43.419
981,43.025829255	,131.897513862	,43.311
982,43.025816648	,131.897538131	,43.483
983,43.025835993	,131.897546629	,43.216
984,43.025846760	,131.897563683	,43.183
985,43.025860304	,131.897534052	,42.889
986,43.025860624	,131.897561376	,43.066
987,43.025870611	,131.897547349	,42.921
988,43.025877639	,131.897537795	,43.011
989,43.025880069	,131.897541887	,42.690
990,43.025888483	,131.897524713	,42.554
991,43.025893524	,131.897511055	,42.453
992,43.025893085	,131.897528077	,42.769
993,43.025904787	,131.897525370	,42.364
994,43.025885151	,131.897541465	,42.692
995,43.025887535	,131.897544610	,42.751
996,43.025884513	,131.897561646	,42.685
997,43.025870233	,131.897571918	,42.934
998,43.025876198	,131.897573511	,42.784
999,43.025907612	,131.897605126	,42.694
1000,43.025924887	,131.897536812	,42.278
1001,43.025906789	,131.897551418	,42.465
1002,43.025995744	,131.897667499	,41.855
1003,43.025998279	,131.897670409	,42.456
1004,43.026061073	,131.897670905	,41.300
1005,43.026048234	,131.897625186	,41.546
1006,43.026035389	,131.897616023	,41.729
1007,43.026046197	,131.897597535	,41.447
1008,43.026058975	,131.897570749	,41.208
1009,43.026081484	,131.897572591	,41.046
1010,43.026060487	,131.897522009	,41.104
1011,43.026061371	,131.897525768	,41.054
1012,43.026063639	,131.897525245	,41.041
1013,43.026068935	,131.897500824	,40.964
1014,43.026052704	,131.897488609	,41.183
1015,43.026021905	,131.897532740	,41.474
1016,43.026024518	,131.897547253	,41.424
1017,43.026006762	,131.897401672	,41.278
1018,43.025999104	,131.897383602	,41.245
1019,43.025995799	,131.897354570	,41.129
1020,43.025992479	,131.897340580	,40.982
1021,43.025983374	,131.897306663	,41.009
1022,43.025972482	,131.897305330	,41.099
1023,43.025970303	,131.897309076	,41.149
1024,43.025961417	,131.897321454	,41.257
1025,43.025951957	,131.897328620	,41.481
1026,43.025953233	,131.897329207	,41.468
1027,43.025953361	,131.897332197	,41.475
1028,43.025948932	,131.897337691	,41.660
1029,43.025946986	,131.897335774	,41.646
1030,43.025948454	,131.897333269	,41.588
1031,43.025936937	,131.897342889	,41.840
1032,43.025933408	,131.897343071	,41.711
1033,43.025938565	,131.897367295	,41.633
1034,43.025943532	,131.897370248	,41.607
1035,43.025949702	,131.897370281	,41.519
1036,43.025960512	,131.897353923	,41.387
1037,43.025964877	,131.897353782	,41.338
1038,43.025966834	,131.897344191	,41.328
1039,43.025971175	,131.897350768	,41.243
1040,43.025977115	,131.897351408	,41.173
1041,43.025985271	,131.897355265	,41.141
1042,43.025989418	,131.897352898	,41.085
1043,43.025989243	,131.897361999	,41.085
1044,43.025979998	,131.897375348	,41.187
1045,43.025977319	,131.897373911	,41.166
1046,43.025966411	,131.897379098	,41.448
1047,43.025961485	,131.897409444	,41.586
1048,43.025953865	,131.897400387	,41.479
1049,43.025951592	,131.897398475	,41.564
1050,43.025940459	,131.897395717	,41.696
1051,43.025947204	,131.897405014	,41.588
1052,43.025934598	,131.897409201	,41.849
1053,43.025941964	,131.897376738	,41.790
1054,43.025952411	,131.897377870	,41.451
1055,43.025921566	,131.897345988	,41.672
1056,43.025912505	,131.897323361	,41.727
1057,43.025909237	,131.897329012	,41.767
1058,43.025909959	,131.897332108	,41.773
1059,43.025913625	,131.897334887	,41.709
1060,43.025907847	,131.897348227	,41.832
1061,43.025914479	,131.897366623	,41.928
1062,43.025908973	,131.897372404	,41.970
1063,43.025911489	,131.897377027	,41.909
1064,43.025911332	,131.897383044	,41.972
1065,43.025918383	,131.897397429	,41.878
1066,43.025914495	,131.897402219	,41.977
1067,43.025906983	,131.897418223	,42.077
1068,43.025906221	,131.897425479	,42.036
1069,43.025908348	,131.897440756	,42.103
1070,43.025900793	,131.897448970	,42.222
1071,43.025881862	,131.897477780	,42.629
1072,43.025878003	,131.897475607	,42.682
1073,43.025876383	,131.897477247	,42.768
1074,43.025877969	,131.897487045	,42.765
1075,43.025863325	,131.897473989	,42.739
1076,43.025851663	,131.897455149	,42.908
1077,43.025878848	,131.897431824	,42.489
1078,43.025879833	,131.897410950	,42.395
1079,43.025883435	,131.897402660	,42.436
1080,43.025880935	,131.897391320	,42.395
1081,43.025884015	,131.897396703	,42.299
1082,43.025897516	,131.897386597	,42.176
1083,43.025894352	,131.897382932	,42.206
1084,43.025891807	,131.897384650	,42.206
1085,43.025890525	,131.897370907	,42.162
1086,43.025892634	,131.897363064	,42.142
1087,43.025898856	,131.897365592	,42.110
1088,43.025903028	,131.897365428	,42.034
1089,43.025897816	,131.897353775	,42.006
1090,43.025898360	,131.897337663	,41.912
1091,43.025896929	,131.897327271	,41.934
1092,43.025899074	,131.897313536	,41.844
1093,43.025887298	,131.897314110	,42.023
1094,43.025879410	,131.897304218	,42.105
1095,43.025875368	,131.897313533	,42.131
1096,43.025881881	,131.897320684	,42.078
1097,43.025878550	,131.897325160	,42.127
1098,43.025870313	,131.897325335	,42.210
1099,43.025864639	,131.897329828	,42.314
1100,43.025877153	,131.897340414	,42.138
1101,43.025873973	,131.897351597	,42.316
1102,43.025867466	,131.897360494	,42.405
1103,43.025876222	,131.897360012	,42.231
1104,43.025883154	,131.897366532	,42.269
1105,43.025871989	,131.897374171	,42.387
1106,43.025865058	,131.897386220	,42.447
1107,43.025865686	,131.897390744	,42.493
1108,43.025861076	,131.897408137	,42.730
1109,43.025858920	,131.897409495	,42.767
1110,43.025864426	,131.897423543	,42.586
1111,43.025861667	,131.897424918	,42.653
1112,43.025868687	,131.897443572	,42.634
1113,43.025844307	,131.897457957	,42.954
1114,43.025839314	,131.897469319	,43.249
1115,43.025828440	,131.897467093	,43.439
1116,43.025817064	,131.897463950	,43.446
1117,43.025811209	,131.897445831	,43.352
1118,43.025822969	,131.897431694	,43.095
1119,43.025821970	,131.897428491	,43.138
1120,43.025829246	,131.897423859	,43.013
1121,43.025838474	,131.897421628	,42.939
1122,43.025832099	,131.897416833	,42.983
1123,43.025831412	,131.897410274	,42.994
1124,43.025833383	,131.897409583	,42.945
1125,43.025845105	,131.897408081	,42.808
1126,43.025853178	,131.897389296	,42.649
1127,43.025857518	,131.897387413	,42.626
1128,43.025860499	,131.897372565	,42.550
1129,43.025848349	,131.897376510	,42.697
1130,43.025832507	,131.897385421	,42.834
1131,43.025812787	,131.897378768	,43.182
1132,43.025800376	,131.897393295	,43.452
1133,43.025814984	,131.897406711	,43.244
1134,43.025809102	,131.897416594	,43.351
1135,43.025802002	,131.897425039	,43.482
1136,43.025799791	,131.897427716	,43.556
1137,43.025805624	,131.897431474	,43.489
1138,43.025811511	,131.897429663	,43.283
1139,43.025795117	,131.897411133	,43.489
1140,43.025788823	,131.897403074	,43.599
1141,43.025792744	,131.897403603	,43.571
1142,43.025787505	,131.897420979	,43.705
1143,43.025782101	,131.897420030	,43.800
1144,43.025777142	,131.897411683	,43.773
1145,43.025779637	,131.897410544	,43.738
1146,43.025781418	,131.897402053	,43.691
1147,43.025785365	,131.897396693	,43.627
1148,43.025763772	,131.897421069	,44.015
1149,43.025764754	,131.897430158	,44.042
1150,43.025777807	,131.897433900	,43.933
1151,43.025754695	,131.897437647	,44.399
1152,43.025701906	,131.897533058	,45.300
1153,43.025681237	,131.897561413	,45.767
1154,43.025682442	,131.897577189	,45.653
1155,43.025676377	,131.897585725	,45.784
1156,43.025706237	,131.897624767	,45.328
1157,43.025714866	,131.897650913	,45.033
1158,43.025712287	,131.897653389	,45.110
1159,43.025706182	,131.897680012	,45.418
1160,43.025730864	,131.897661049	,44.902
1161,43.025725058	,131.897659749	,44.996
1162,43.025727026	,131.897655903	,44.920
1163,43.025717787	,131.897626362	,44.974
1164,43.025707762	,131.897573676	,45.198
1165,43.025731894	,131.897531361	,44.590
1166,43.025752049	,131.897585406	,44.608
1167,43.025750114	,131.897596705	,44.504
1168,43.025738891	,131.897596277	,44.694
1169,43.025738274	,131.897589152	,44.706
1170,43.025760672	,131.897589396	,44.279
1171,43.025769414	,131.897595300	,44.329
1172,43.025772100	,131.897585744	,44.056
1173,43.025773893	,131.897586158	,44.132
1174,43.025777258	,131.897589636	,44.017
1175,43.025778217	,131.897581421	,43.955
1176,43.025781996	,131.897582220	,43.914
1177,43.025781094	,131.897573684	,43.969
1178,43.025782133	,131.897563442	,44.004
1179,43.025785173	,131.897569796	,43.903
1180,43.025788189	,131.897582671	,43.910
1181,43.025790659	,131.897575664	,43.838
1182,43.025796319	,131.897571821	,43.766
1183,43.025795886	,131.897577523	,43.824
1184,43.025793623	,131.897584581	,43.816
1185,43.025791589	,131.897592427	,43.976
1186,43.025788538	,131.897597718	,43.831
1187,43.025785384	,131.897599607	,43.939
1188,43.025782689	,131.897602882	,43.916
1189,43.025782326	,131.897607969	,43.985
1190,43.025782080	,131.897613853	,44.008
1191,43.025785331	,131.897610137	,44.024
1192,43.025773988	,131.897607822	,44.085
1193,43.025777563	,131.897627451	,44.044
1194,43.025779553	,131.897626624	,43.945
1195,43.025759275	,131.897632506	,44.305
1196,43.025765308	,131.897636319	,44.257
1197,43.025769263	,131.897637816	,44.171
1198,43.025768590	,131.897642495	,44.193
1199,43.025772002	,131.897647205	,44.149
1200,43.025780122	,131.897652734	,44.026
1201,43.025775408	,131.897651621	,44.101
1202,43.025774238	,131.897650683	,44.106
1203,43.025749941	,131.897637641	,44.469
1204,43.025805293	,131.897580669	,43.765
1205,43.025808590	,131.897633854	,43.686
1206,43.025809949	,131.897631811	,43.810
1207,43.025817288	,131.897648706	,43.589
1208,43.025841707	,131.897640267	,43.477
1209,43.025845106	,131.897642114	,43.644
1210,43.025846393	,131.897635945	,43.356
1211,43.025843162	,131.897631781	,43.386
1212,43.025888728	,131.897640977	,42.675
1213,43.025875454	,131.897657539	,43.010
1214,43.025888874	,131.897682702	,43.044
1215,43.025905758	,131.897703845	,42.638
1216,43.025864777	,131.897693591	,43.210
1217,43.025789249	,131.897669903	,43.921
1218,43.025770169	,131.897671169	,44.196
1219,43.025739610	,131.897729994	,45.130
1220,43.025755961	,131.897747045	,44.697
1221,43.025748416	,131.897763574	,45.042
1222,43.025770308	,131.897835158	,44.611
1223,43.025767078	,131.897840571	,44.604
1224,43.025797190	,131.897863950	,44.322
1225,43.025829534	,131.897931901	,44.179
1226,43.025864899	,131.897949373	,44.072
1227,43.025873280	,131.897949211	,43.923
1228,43.025874289	,131.897939974	,44.057
1229,43.025874941	,131.897933712	,43.815
1230,43.025872493	,131.897930849	,43.973
1231,43.025866562	,131.897933200	,43.964
1232,43.025869839	,131.897936573	,44.158
1233,43.025860282	,131.897900762	,43.487
1234,43.025855474	,131.897883441	,43.609
1235,43.025848604	,131.897872106	,43.638
1236,43.025859300	,131.897862590	,43.383
1237,43.025862036	,131.897862482	,43.381
1238,43.025862336	,131.897839696	,43.571
1239,43.025875833	,131.897858842	,43.177
1240,43.025878352	,131.897853264	,43.105
1241,43.025874854	,131.897875251	,43.413
1242,43.025873198	,131.897878791	,43.391
1243,43.025951090	,131.897907742	,42.818
1244,43.025951999	,131.897901584	,42.636
1245,43.025974703	,131.897854261	,42.578
1246,43.025964220	,131.897854402	,42.542
1247,43.025944281	,131.897825541	,42.580
1248,43.025931367	,131.897826742	,42.701
1249,43.025907819	,131.897842610	,43.091
1250,43.025912037	,131.897843413	,43.096
1251,43.025911315	,131.897821976	,42.852
1252,43.025913058	,131.897807890	,42.814
1253,43.025902623	,131.897815641	,42.963
1254,43.025899891	,131.897802435	,43.034
1255,43.025906243	,131.897764247	,42.783
1256,43.025896776	,131.897762983	,43.025
1257,43.025884539	,131.897740036	,43.097
1258,43.025881884	,131.897727888	,42.892
1259,43.025872781	,131.897726811	,43.044
1260,43.025835541	,131.897732961	,43.704
1261,43.025856154	,131.897717056	,43.236
1262,43.025847966	,131.897780099	,43.358
1263,43.025848451	,131.897785955	,43.371
1264,43.025848778	,131.897789917	,43.359
1265,43.025845947	,131.897800219	,43.571
1266,43.025839801	,131.897789286	,43.472
1267,43.025821823	,131.897771475	,43.619
1268,43.025813762	,131.897759444	,43.727
1269,43.025813586	,131.897767692	,43.718
1270,43.025800349	,131.897753303	,44.080
1271,43.025811912	,131.897776640	,43.765
1272,43.025806346	,131.897782251	,43.944
1273,43.025809849	,131.897798647	,43.818
1274,43.025830349	,131.897800762	,43.772
1275,43.025794114	,131.897797404	,44.096
1276,43.025780230	,131.897801418	,44.532
1277,43.025766882	,131.897767428	,44.547
1278,43.025776309	,131.897730928	,44.406
1279,43.025785521	,131.897697393	,44.057
1280,43.025793492	,131.897689201	,43.910
1281,43.025783226	,131.897690398	,44.041
1282,43.025781491	,131.898084782	,45.814
1283,43.025808214	,131.898065071	,45.110
1284,43.025805256	,131.898088042	,45.385
1285,43.025811577	,131.898090905	,45.318
1286,43.025807942	,131.898095434	,45.459
1287,43.025802010	,131.898125275	,45.589
1288,43.025816269	,131.898134172	,45.523
1289,43.025815536	,131.898146315	,45.520
1290,43.025833635	,131.898165429	,45.442
1291,43.025816930	,131.898146114	,45.438
1292,43.025810251	,131.898156717	,45.651
1293,43.025818035	,131.898186757	,45.819
1294,43.025816174	,131.898195944	,45.938
1295,43.025797167	,131.898220516	,46.399
1296,43.025799276	,131.898224740	,46.369
1297,43.025786807	,131.898234927	,46.481
1298,43.025789167	,131.898239696	,46.535
1299,43.025789060	,131.898327005	,47.030
1300,43.025792196	,131.898348533	,47.119
1301,43.025801457	,131.898429159	,47.503
1302,43.025888453	,131.898513607	,47.367
1303,43.025897274	,131.898450432	,46.398
1304,43.025935638	,131.898453926	,46.165
1305,43.025921320	,131.898433683	,46.332
1306,43.025892009	,131.898417977	,46.216
1307,43.025865512	,131.898397843	,46.248
1308,43.025854906	,131.898371721	,46.354
1309,43.025825110	,131.898392198	,46.587
1310,43.025829148	,131.898396274	,46.570
1311,43.025824444	,131.898397917	,46.691
1312,43.025822649	,131.898362400	,46.605
1313,43.025877475	,131.898357164	,46.395
1314,43.025881254	,131.898356656	,46.039
1315,43.025892175	,131.898359118	,45.891
1316,43.025893632	,131.898353495	,45.857
1317,43.025896310	,131.898352832	,46.023
1318,43.025899449	,131.898314043	,45.653
1319,43.025923501	,131.898320146	,45.232
1320,43.025936822	,131.898320442	,45.202
1321,43.025941545	,131.898313913	,45.099
1322,43.025937010	,131.898310093	,44.947
1323,43.025943857	,131.898303728	,44.633
1324,43.025945794	,131.898252963	,44.292
1325,43.025932434	,131.898235215	,44.450
1326,43.025936585	,131.898215596	,44.338
1327,43.025953872	,131.898228949	,44.306
1328,43.025953177	,131.898217136	,44.074
1329,43.025966914	,131.898203030	,44.126
1330,43.025964031	,131.898222347	,44.109
1331,43.025958240	,131.898169045	,43.766
1332,43.025946683	,131.898166015	,44.139
1333,43.025938298	,131.898124412	,43.615
1334,43.025929910	,131.898148575	,43.893
1335,43.025929278	,131.898151449	,43.981
1336,43.025924259	,131.898144326	,43.999
1337,43.025919257	,131.898150859	,44.063
1338,43.025914817	,131.898139740	,44.146
1339,43.025911271	,131.898151071	,44.176
1340,43.025919428	,131.898167312	,44.329
1341,43.025920272	,131.898174376	,44.550
1342,43.025914294	,131.898164468	,44.301
1343,43.025914756	,131.898168485	,44.422
1344,43.025913215	,131.898171750	,44.483
1345,43.025907989	,131.898139372	,44.098
1346,43.025904799	,131.898131183	,44.098
1347,43.025905990	,131.898126918	,44.024
1348,43.025892270	,131.898090606	,44.202
1349,43.025877069	,131.898130219	,44.392
1350,43.025871478	,131.898122987	,44.574
1351,43.025888535	,131.898166974	,44.662
1352,43.025880374	,131.898175045	,44.771
1353,43.025880537	,131.898178253	,44.832
1354,43.025869374	,131.898196941	,45.349
1355,43.025855953	,131.898196614	,45.259
1356,43.025855922	,131.898204154	,45.313
1357,43.025858469	,131.898214753	,45.476
1358,43.025853082	,131.898221179	,45.613
1359,43.025839668	,131.898226086	,45.835
1360,43.025833615	,131.898263540	,46.137
1361,43.025814826	,131.898286769	,46.424
1362,43.025810843	,131.898300297	,46.487
1363,43.025836418	,131.898306448	,46.161
1364,43.025847853	,131.898277303	,46.036
1365,43.025864906	,131.898316026	,46.027
1366,43.025875995	,131.898271721	,45.674
1367,43.025891447	,131.898252828	,45.176
1368,43.025878552	,131.898239089	,45.380
1369,43.025891276	,131.898225013	,45.018
1370,43.025892990	,131.898219182	,44.994
1371,43.026410087	,131.897920948	,38.760
1372,43.026398882	,131.897912204	,38.766
1373,43.026392076	,131.897902531	,38.576
