base_1,43.118967237	,131.889649040	,114.216
159,43.025275681	,131.896545957	,48.022
160,43.025279869	,131.896548137	,47.970
161,43.025288435	,131.896542827	,47.768
162,43.025325232	,131.896501745	,46.836
163,43.025340404	,131.896474347	,46.454
164,43.025377975	,131.896406115	,45.040
165,43.025371914	,131.896380286	,44.913
166,43.025374776	,131.896364729	,44.456
167,43.025365454	,131.896360639	,44.667
168,43.025335151	,131.896373630	,45.513
169,43.025327568	,131.896336383	,45.088
170,43.025308833	,131.896322359	,45.389
171,43.025301660	,131.896314591	,45.433
172,43.025300053	,131.896304401	,45.126
173,43.025296045	,131.896298540	,44.922
174,43.025292529	,131.896295936	,44.888
175,43.025279368	,131.896306081	,46.114
176,43.025229287	,131.896291715	,47.429
177,43.025233558	,131.896310098	,47.306
178,43.025236396	,131.896320300	,47.325
179,43.025228195	,131.896325411	,47.411
180,43.025226079	,131.896332850	,47.561
181,43.025225611	,131.896361176	,47.812
182,43.025242491	,131.896378430	,47.486
183,43.025249074	,131.896404378	,47.528
184,43.025265305	,131.896376894	,46.952
185,43.025301280	,131.896392420	,46.408
186,43.025304231	,131.896446952	,46.971
187,43.025286265	,131.896456653	,47.526
188,43.025254506	,131.896503285	,48.358
189,43.025265918	,131.896496651	,47.814
190,43.025270020	,131.896495916	,47.708
191,43.025291394	,131.896510795	,47.445
192,43.025336109	,131.896814199	,47.974
193,43.025377309	,131.896798376	,47.159
194,43.025379156	,131.896829114	,46.666
195,43.025389735	,131.896846665	,46.303
196,43.025405131	,131.896847072	,46.036
197,43.025413792	,131.896811334	,46.354
198,43.025410942	,131.896860499	,46.104
199,43.025432110	,131.896859424	,45.495
200,43.025429321	,131.896760614	,46.533
201,43.025466458	,131.896845508	,44.469
202,43.025465171	,131.896789648	,45.641
203,43.025464043	,131.896778501	,45.631
204,43.025463759	,131.896780312	,45.695
205,43.025466860	,131.896779878	,45.716
206,43.025464845	,131.896782468	,45.979
207,43.025494180	,131.896784758	,44.794
208,43.025511559	,131.896775921	,44.332
209,43.025521390	,131.896752957	,44.715
